                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.95197,                0.68431,                 1.4364,                0.89762,                 0.8765,                0.92621,                0.68452,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.93852,                0.69151,                  1.432,                0.91366,                0.89902,                0.93232,                0.68786,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.94466,                0.68938,                  1.416,                0.87889,                0.91923,                0.94221,                0.68817,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.93293,                0.70256,                 1.4465,                 0.9381,                0.84944,                0.93619,                0.69231,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.94794,                  0.693,                 1.4277,                0.94431,                0.87788,                0.94917,                0.69698,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.93745,                0.67834,                 1.4145,                0.93871,                0.89229,                0.94146,                0.69221,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                 0.9169,                0.67171,                 1.4275,                0.94391,                 0.8816,                0.94448,                0.69625,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.90433,                0.65555,                 1.3951,                0.92483,                0.84993,                0.92838,                0.69191,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.88503,                0.63023,                 1.3547,                0.88128,                0.92364,                0.93601,                0.69343,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.91179,                0.65637,                 1.3933,                0.89572,                0.92401,                0.94288,                0.69947,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                 0.9166,                0.66772,                 1.4048,                0.93711,                0.87792,                0.94709,                0.69679,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.91366,                  0.666,                 1.3903,                0.92933,                 0.9035,                0.94968,                0.70288,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.90775,                0.67217,                 1.4133,                0.92736,                0.91344,                0.95605,                0.70723,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.79056,                0.59632,                 1.3379,                0.94544,                0.87523,                0.95215,                 0.6962,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.77654,                0.57147,                 1.3281,                 0.9264,                0.89067,                0.93344,                0.68808,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.75777,                0.56233,                  1.315,                0.90917,                0.87451,                 0.9269,                0.69836,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.75793,                0.56345,                 1.3183,                0.92701,                0.89029,                0.94609,                0.71245,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.73607,                0.53321,                 1.2951,                0.92403,                0.92014,                0.95084,                0.70483,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.73042,                0.53804,                 1.2896,                0.91549,                0.90365,                0.94527,                0.70295,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.74178,                  0.545,                 1.2874,                0.93446,                0.89506,                0.94126,                0.70923,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.74976,                0.53687,                 1.2889,                0.94735,                0.89335,                0.95163,                0.71237,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.74182,                0.53583,                 1.2822,                0.93977,                0.89608,                0.94796,                0.71103,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.71263,                0.52543,                 1.2631,                0.93913,                0.89887,                0.94681,                0.71716,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
