                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.82485,                0.57095,                  1.322,                0.93734,                 0.8757,                0.93149,                0.69903,                      0,                    inf,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                0.84799,                  0.606,                 1.3411,                0.91781,                0.87149,                0.92139,                0.68261,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     58,                0.84496,                0.58801,                 1.3321,                 0.9055,                0.88111,                 0.9041,                0.64216,                      0,                    inf,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                0.85286,                0.57917,                 1.3343,                0.91533,                0.84046,                0.93897,                0.67511,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     60,                0.81773,                0.56927,                 1.3048,                0.97467,                0.83945,                0.92525,                0.68017,                      0,                    inf,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                0.84498,                0.56811,                 1.3311,                0.94198,                0.90154,                0.93503,                0.70038,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     62,                0.85033,                0.58268,                 1.3326,                0.92461,                0.85679,                0.90824,                0.69673,                      0,                    inf,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                0.85273,                0.59027,                 1.3359,                0.87691,                 0.9247,                0.93682,                0.69483,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     64,                0.83141,                0.57953,                  1.318,                0.91772,                0.91594,                0.95568,                0.71356,                      0,                    inf,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                0.82519,                0.56728,                 1.3153,                0.94009,                0.88548,                0.93734,                0.69616,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     66,                0.80458,                0.57234,                  1.303,                0.95273,                0.89357,                0.94977,                0.69979,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                0.80358,                0.54329,                 1.2934,                0.94366,                0.88519,                0.95991,                0.71941,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     68,                0.80449,                0.54978,                 1.2873,                0.93588,                0.91863,                 0.9265,                0.69298,                      0,                    inf,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                0.80569,                0.54188,                 1.2966,                0.92306,                0.91354,                0.95579,                0.70736,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     70,                0.80281,                0.55049,                 1.2758,                0.92779,                0.90531,                0.94351,                0.69574,                      0,                    inf,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                0.81208,                0.54749,                 1.2882,                0.94323,                0.85913,                0.92123,                0.68939,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     72,                0.83182,                0.55248,                  1.315,                 0.9317,                0.86784,                0.94502,                0.71472,                      0,                    inf,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                0.83021,                0.56045,                 1.3029,                0.91358,                0.88417,                 0.9306,                0.69946,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     74,                0.82315,                0.54998,                 1.3102,                0.86904,                 0.8933,                0.92832,                0.68582,                      0,                    inf,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                0.78955,                0.54202,                 1.2845,                 0.9591,                0.85841,                0.93829,                0.67655,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     76,                0.78435,                0.51658,                 1.2672,                 0.9672,                0.88671,                0.95299,                0.70651,                      0,                    inf,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                0.79354,                0.53889,                 1.2809,                0.95796,                0.85736,                0.95089,                0.71909,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     78,                0.79613,                0.54252,                 1.2891,                0.94484,                0.88956,                0.94407,                0.70146,                      0,                    inf,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                0.78912,                0.53957,                 1.2672,                0.93114,                0.89066,                0.93271,                0.69928,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     80,                0.77788,                0.54386,                 1.2894,                 0.9571,                0.87571,                0.92777,                0.69649,                      0,                    inf,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                0.81625,                0.54876,                 1.2902,                0.94524,                0.88562,                0.93628,                0.70903,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     82,                0.79384,                0.52162,                 1.2727,                0.91339,                0.88362,                 0.9435,                0.71293,                      0,                    inf,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                0.78408,                0.53112,                 1.2829,                0.94967,                0.87516,                0.95126,                0.72573,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     84,                0.77653,                0.50976,                 1.2607,                0.93723,                0.90588,                0.95815,                0.72457,                      0,                    inf,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                0.76009,                  0.497,                 1.2312,                0.93306,                0.92604,                 0.9546,                0.72853,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     86,                0.77178,                0.51093,                  1.242,                0.94145,                0.92411,                0.95357,                0.71794,                      0,                    inf,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                  0.781,                0.52251,                 1.2717,                0.91165,                0.92008,                0.94087,                0.70844,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     88,                0.78062,                0.52964,                  1.249,                0.96043,                0.88565,                0.96478,                0.73248,                      0,                    inf,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                0.77757,                0.52762,                   1.28,                0.93885,                0.89858,                0.96783,                0.72258,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     90,                0.77686,                0.51976,                 1.2589,                0.94922,                0.90004,                0.95131,                0.70448,                      0,                    inf,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                 0.7577,                0.52936,                 1.2504,                0.92517,                0.91868,                0.94313,                0.70466,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     92,                0.78407,                0.51677,                  1.262,                0.96521,                0.91778,                0.95973,                0.72246,                      0,                    inf,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                0.74175,                0.50421,                 1.2371,                0.94177,                0.90996,                0.95091,                0.71785,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     94,                0.74117,                0.50363,                 1.2308,                0.94406,                0.92686,                0.96457,                0.73583,                      0,                    inf,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                0.73954,                0.49232,                 1.2347,                0.90436,                0.87344,                0.94257,                0.70764,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     96,                0.75448,                0.50325,                 1.2545,                0.93379,                0.92473,                 0.9613,                0.73067,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                0.76708,                  0.504,                 1.2496,                0.94911,                 0.9317,                0.95689,                0.72498,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     98,                0.75707,                0.50557,                 1.2411,                0.92154,                0.93351,                0.93556,                0.71355,                      0,                    inf,                      0,              0.0051985,              0.0051985,              0.0051985
                     99,                0.74946,                  0.514,                 1.2342,                0.92543,                0.92872,                0.94903,                0.72239,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                    100,                0.76294,                0.50669,                 1.2478,                0.94292,                0.91734,                0.95236,                0.71784,                      0,                    inf,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                0.72727,                0.47825,                 1.2147,                 0.9439,                0.90358,                0.96274,                0.73802,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                    102,                0.73937,                0.49281,                 1.2315,                0.91592,                0.93432,                0.95422,                0.73647,                      0,                    inf,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                0.76824,                0.49355,                  1.232,                0.91932,                0.89922,                0.94966,                0.73397,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                    104,                0.74711,                0.49498,                 1.2162,                0.96473,                 0.8668,                 0.9606,                0.73743,                      0,                    inf,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                0.74458,                0.48792,                  1.233,                0.93797,                0.92971,                0.94463,                0.71772,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                    106,                0.73362,                0.46839,                 1.2106,                0.95665,                0.92356,                0.95652,                0.73516,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                0.75517,                0.50642,                 1.2371,                0.97816,                0.88626,                0.95607,                0.74768,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                    108,                0.74989,                0.48836,                 1.2378,                0.95073,                0.94064,                0.96078,                 0.7319,                      0,                    inf,                      0,              0.0047035,              0.0047035,              0.0047035
